"   ","STARTTIME","LOCATION"
"1","01-JAN-24 07.30.00.000000 AM","1st Floor"
"2","01-JAN-24 03.30.00.000000 PM","1st Floor"
"3","01-JAN-24 11.30.00.000000 PM","Lobby"
"4","02-JAN-24 07.30.00.000000 AM","2nd Floor"
"5","02-JAN-24 03.30.00.000000 PM","3rd Floor"
"6","02-JAN-24 11.30.00.000000 PM","2nd Floor"
"7","03-JAN-24 07.30.00.000000 AM","7th Floor"
"8","03-JAN-24 03.30.00.000000 PM","Entrance"
"9","03-JAN-24 11.30.00.000000 PM","1st Floor"
"10","04-JAN-24 07.30.00.000000 AM","1st Floor"
"11","04-JAN-24 03.30.00.000000 PM","2nd Floor"
"12","04-JAN-24 11.30.00.000000 PM","Lobby"
"13","05-JAN-24 07.30.00.000000 AM","5th Floor"
"14","05-JAN-24 03.30.00.000000 PM","6th Floor"
"15","05-JAN-24 11.30.00.000000 PM","Entrance"
"16","06-JAN-24 07.30.00.000000 AM","2nd Floor"
"17","06-JAN-24 03.30.00.000000 PM","4th Floor"
"18","06-JAN-24 11.30.00.000000 PM","5th Floor"
"19","07-JAN-24 07.30.00.000000 AM","2nd Floor"
"20","07-JAN-24 03.30.00.000000 PM","4th Floor"
"21","07-JAN-24 11.30.00.000000 PM","4th Floor"
"22","08-JAN-24 07.30.00.000000 AM","4th Floor"
"23","08-JAN-24 03.30.00.000000 PM","1st Floor"
"24","08-JAN-24 11.30.00.000000 PM","Entrance"
"25","09-JAN-24 07.30.00.000000 AM","Entrance"
"26","09-JAN-24 03.30.00.000000 PM","6th Floor"
"27","09-JAN-24 11.30.00.000000 PM","7th Floor"
"28","10-JAN-24 07.30.00.000000 AM","6th Floor"
"29","10-JAN-24 03.30.00.000000 PM","4th Floor"
"30","10-JAN-24 11.30.00.000000 PM","6th Floor"
"31","11-JAN-24 07.30.00.000000 AM","Entrance"
"32","11-JAN-24 03.30.00.000000 PM","1st Floor"
"33","11-JAN-24 11.30.00.000000 PM","2nd Floor"
"34","12-JAN-24 07.30.00.000000 AM","5th Floor"
"35","12-JAN-24 03.30.00.000000 PM","Entrance"
"36","12-JAN-24 11.30.00.000000 PM","6th Floor"
"37","13-JAN-24 07.30.00.000000 AM","6th Floor"
"38","13-JAN-24 03.30.00.000000 PM","4th Floor"
"39","13-JAN-24 11.30.00.000000 PM","2nd Floor"
"40","14-JAN-24 07.30.00.000000 AM","3rd Floor"
"41","14-JAN-24 03.30.00.000000 PM","3rd Floor"
"42","14-JAN-24 11.30.00.000000 PM","Entrance"
"43","15-JAN-24 07.30.00.000000 AM","Entrance"
"44","15-JAN-24 03.30.00.000000 PM","Entrance"
"45","15-JAN-24 11.30.00.000000 PM","Lobby"
"46","16-JAN-24 07.30.00.000000 AM","3rd Floor"
"47","16-JAN-24 03.30.00.000000 PM","1st Floor"
"48","16-JAN-24 11.30.00.000000 PM","4th Floor"
"49","17-JAN-24 07.30.00.000000 AM","Lobby"
"50","17-JAN-24 03.30.00.000000 PM","3rd Floor"
